,geoFIPS,NAME
959,g20175,Seward
960,g20177,Shawnee
961,g20179,Sheridan
962,g20107,Linn
963,g20109,Logan
964,g20111,Lyon
965,g20115,Marion
966,g20117,Marshall
967,g20119,Meade
968,g20121,Miami
969,g20123,Mitchell
970,g20125,Montgomery
971,g20127,Morris
972,g20131,Nemaha
973,g20133,Neosho
974,g20135,Ness
975,g20137,Norton
976,g20139,Osage
977,g20141,Osborne
978,g20145,Pawnee
979,g20147,Phillips
980,g20151,Pratt
981,g20153,Rawlins
982,g20155,Reno
983,g20181,Sherman
984,g20183,Smith
985,g20191,Sumner
986,g20195,Trego
987,g20197,Wabaunsee
988,g20199,Wallace
989,g20201,Washington
990,g20205,Wilson
991,g20207,Woodson
992,g20209,Wyandotte
993,g21183,Ohio
994,g21185,Oldham
995,g21187,Owen
996,g21189,Owsley
997,g21191,Pendleton
998,g21193,Perry
999,g21195,Pike
1000,g21197,Powell
1001,g21199,Pulaski
1002,g21201,Robertson
1003,g21203,Rockcastle
1004,g21205,Rowan
1005,g21209,Scott
1006,g21213,Simpson
1007,g21217,Taylor
1008,g21229,Washington
1009,g21235,Whitley
1010,g21237,Wolfe
1011,g21239,Woodford
1012,g21207,Russell
1013,g21211,Shelby
1014,g21215,Spencer
1015,g21219,Todd
1016,g21221,Trigg
1017,g21223,Trimble
1018,g21225,Union
1019,g21227,Warren
1020,g21231,Wayne
1021,g21233,Webster
1022,g21007,Ballard
1023,g21009,Barren
1024,g21015,Boone
1025,g21019,Boyd
1026,g21021,Boyle
1027,g21023,Bracken
1028,g21001,Adair
1029,g21003,Allen
1030,g21005,Anderson
1031,g21013,Bell
1032,g21017,Bourbon
1033,g21025,Breathitt
1034,g21027,Breckinridge
1035,g21029,Bullitt
1036,g21031,Butler
1037,g21033,Caldwell
1038,g21043,Carter
1039,g21049,Clark
1040,g21051,Clay
1041,g21055,Crittenden
1042,g21059,Daviess
1043,g21061,Edmonson
1044,g21067,Fayette
1045,g21071,Floyd
1046,g21079,Garrard
1047,g21085,Grayson
