Geo_FIPS,fema_region_sovi_rank,us_sovi_rank
g19135,258.0,195.0
g19137,97.0,105.0
g19139,269.0,357.0
g19141,406.0,321.0
g19143,353.0,360.0
g19145,391.0,280.0
g19147,321.0,224.0
g19149,105.0,168.0
g19151,327.0,173.0
g19153,194.0,104.0
g19155,302.0,393.0
g19157,364.0,266.0
g19159,199.0,78.0
g19161,397.0,231.0
g19163,276.0,146.0
g19165,355.0,313.0
g19167,108.0,112.0
g19169,14.0,8.0
g19171,79.0,141.0
g19173,230.0,120.0
g19175,207.0,279.0
g19177,388.0,316.0
g19179,73.0,204.0
g19181,100.0,98.0
g19183,362.0,402.0
g19185,188.0,129.0
g19187,238.0,331.0
g19189,309.0,397.0
g19191,82.0,251.0
g19193,96.0,339.0
g19195,316.0,308.0
g19197,236.0,165.0
g20001,125.0,200.0
g20003,259.0,314.0
g20005,136.0,284.0
g20007,292.0,352.0
g20009,215.0,290.0
g20011,220.0,171.0
g20013,13.0,17.0
g20015,84.0,50.0
g20017,336.0,90.0
g20019,133.0,38.0
g20021,201.0,249.0
g20023,381.0,51.0
g20025,166.0,33.0
g20027,294.0,407.0
g20029,59.0,24.0
g20031,369.0,356.0
g20033,251.0,74.0
g20035,173.0,275.0
g20037,298.0,376.0
g20039,126.0,13.0
g20041,320.0,370.0
g20043,301.0,162.0
g20045,70.0,46.0
g20047,342.0,300.0
g20049,248.0,67.0
g20051,171.0,216.0
g20053,52.0,267.0
g20055,75.0,369.0
g20057,19.0,253.0
g20059,221.0,271.0
g20061,218.0,149.0
g20063,110.0,365.0
g20065,204.0,246.0
g20067,81.0,254.0
g20069,344.0,261.0
g20071,307.0,72.0
g20073,169.0,59.0
g20075,345.0,307.0
g20077,138.0,133.0
g20079,272.0,278.0
g20081,370.0,172.0
g20083,72.0,135.0
g20085,404.0,373.0
g20087,45.0,53.0
g20089,200.0,154.0
g20091,11.0,3.0
g20093,409.0,121.0
g20095,403.0,372.0
g20097,358.0,390.0
g20099,144.0,180.0
g20101,185.0,337.0
g20103,31.0,32.0
g20105,266.0,192.0
g20107,83.0,106.0
g20109,299.0,306.0
g20111,85.0,160.0
g20113,262.0,342.0
g20115,365.0,277.0
g20117,380.0,257.0
g20119,383.0,296.0
g20121,71.0,52.0
g20123,223.0,385.0
g20125,64.0,125.0
g20127,300.0,298.0
g20129,331.0,256.0
g20131,197.0,158.0
g20133,132.0,159.0
g20135,241.0,47.0
g20137,149.0,238.0
g20139,247.0,283.0
g20141,267.0,115.0
g20143,74.0,82.0
g20145,44.0,147.0
g20147,313.0,233.0
g20149,46.0,39.0
g20151,346.0,399.0
g20153,347.0,111.0
g20155,226.0,285.0
g20157,252.0,101.0
g20159,175.0,218.0
g20161,23.0,22.0
g20163,379.0,226.0
g20165,402.0,151.0
g20167,356.0,341.0
g20169,323.0,406.0
g20171,400.0,344.0
g20173,359.0,219.0
g20175,10.0,150.0
g20177,130.0,235.0
g20179,213.0,378.0
g20181,163.0,182.0
g20183,146.0,31.0
g20185,283.0,126.0
g20187,152.0,389.0
g20189,375.0,295.0
g20191,354.0,305.0
g20193,349.0,303.0
g20195,127.0,312.0
g20197,49.0,114.0
g20199,140.0,252.0
g20201,264.0,322.0
g20203,225.0,205.0
g20205,109.0,99.0
g20207,119.0,95.0
g20209,7.0,54.0
g21001,708.0,635.0
g21003,519.0,664.0
g21005,90.0,234.0
g21007,225.0,260.0
g21009,706.0,467.0
g21011,442.0,501.0
g21013,175.0,98.0
g21015,34.0,39.0
g21017,614.0,365.0
g21019,648.0,734.0
g21021,669.0,471.0
g21023,260.0,321.0
g21025,128.0,144.0
g21027,361.0,422.0
g21029,40.0,79.0
g21031,426.0,302.0
g21033,699.0,266.0
g21035,518.0,670.0
g21037,173.0,342.0
g21039,635.0,479.0
g21041,291.0,564.0
g21043,424.0,397.0
g21045,589.0,423.0
g21047,693.0,663.0
g21049,282.0,452.0
g21051,456.0,643.0
g21053,715.0,485.0
g21055,637.0,599.0
g21057,278.0,147.0
g21059,421.0,716.0
g21061,578.0,437.0
g21063,58.0,466.0
g21065,543.0,352.0
g21067,527.0,345.0
g21069,155.0,248.0
g21071,475.0,377.0
g21073,385.0,638.0
g21075,507.0,683.0
g21077,689.0,398.0
g21079,136.0,317.0
g21081,102.0,173.0
g21083,577.0,675.0
g21085,506.0,530.0
g21087,677.0,413.0
g21089,423.0,622.0
g21091,219.0,216.0
g21093,243.0,274.0
g21095,323.0,378.0
g21097,665.0,571.0
g21099,735.0,700.0
g21101,413.0,704.0
g21103,404.0,607.0
g21105,98.0,64.0
g21107,726.0,521.0
g21109,651.0,550.0
g21111,718.0,693.0
g21113,233.0,388.0
g21115,545.0,484.0
g21117,161.0,254.0
g21119,662.0,726.0
g21121,216.0,190.0
g21123,287.0,310.0
g21125,294.0,454.0
g21127,710.0,438.0
g21129,274.0,258.0
g21131,391.0,640.0
g21133,730.0,679.0
g21135,680.0,446.0
g21137,453.0,676.0
g21139,621.0,496.0
g21141,376.0,536.0
g21143,74.0,586.0
g21145,713.0,486.0
g21147,364.0,425.0
g21149,571.0,577.0
g21151,405.0,596.0
g21153,332.0,535.0
g21155,523.0,322.0
g21157,681.0,487.0
g21159,159.0,401.0
g21161,620.0,329.0
g21163,71.0,96.0
g21165,160.0,178.0
g21167,259.0,626.0
g21169,310.0,325.0
g21171,469.0,556.0
g21173,298.0,579.0
g21175,517.0,219.0
g21177,655.0,590.0
g21179,111.0,247.0
g21181,632.0,539.0
g21183,566.0,736.0
g21185,11.0,5.0
g21187,470.0,333.0
g21189,21.0,20.0
g21191,105.0,213.0
g21193,574.0,619.0
g21195,731.0,602.0
g21197,420.0,298.0
g21199,616.0,492.0
g21201,429.0,617.0
g21203,473.0,394.0
g21205,678.0,563.0
g21207,458.0,457.0
g21209,64.0,107.0
g21211,222.0,428.0
g21213,231.0,724.0
g21215,42.0,33.0
g21217,695.0,305.0
g21219,551.0,637.0
g21221,362.0,527.0
g21223,239.0,69.0
g21225,398.0,461.0
g21227,355.0,404.0
g21229,466.0,412.0
g21231,450.0,460.0
g21233,445.0,395.0
g21235,363.0,235.0
g21237,51.0,23.0
g21239,81.0,129.0
g22001,397.0,456.0
g22003,295.0,332.0
g22005,19.0,50.0
g22007,53.0,204.0
g22009,267.0,182.0
g22011,99.0,148.0
g22013,337.0,119.0
g22015,137.0,269.0
g22017,401.0,272.0
g22019,219.0,364.0
g22021,183.0,369.0
g22023,16.0,46.0
g22025,122.0,314.0
g22027,259.0,437.0
g22029,380.0,155.0
g22031,299.0,310.0
g22033,211.0,330.0
g22035,145.0,47.0
g22037,169.0,390.0
g22039,499.0,342.0
g22041,361.0,180.0
g22043,92.0,141.0
g22045,170.0,460.0
g22047,63.0,243.0
g22049,433.0,464.0
g22051,483.0,490.0
g22053,231.0,375.0
g22055,103.0,191.0
g22057,134.0,263.0
g22059,143.0,202.0
g22061,379.0,425.0
g22063,37.0,68.0
g22065,446.0,237.0
g22067,251.0,106.0
g22069,426.0,293.0
g22071,469.0,250.0
g22073,375.0,432.0
g22075,21.0,72.0
g22077,189.0,415.0
g22079,493.0,337.0
g22081,235.0,406.0
g22083,471.0,304.0
g22085,155.0,454.0
g22087,180.0,238.0
g22089,39.0,98.0
g22091,354.0,264.0
g22093,105.0,382.0
g22095,128.0,373.0
g22097,436.0,279.0
g22099,140.0,391.0
g22101,234.0,474.0
g22103,44.0,104.0
g22105,187.0,361.0
g22107,220.0,49.0
g22109,86.0,205.0
